"","x"
"1899",253263
"1900",253264
"1901",253265
"1902",253266
"1903",253267
"1904",253268
"1905",253269
"1906",253270
"1907",253271
"1908",253272
"1909",253273
"1910",253274
"1911",253275
"1912",253276
"1913",253348
"1914",253349
"1915",253350
"1916",253351
"1917",253352
"1918",253353
"1919",253354
"1920",253355
"1921",253356
"1922",253357
"1923",253358
"1924",253359
"1925",253360
"1926",253361
"1927",253362
"1928",253363
"1929",253364
"1930",253365
"1931",253387
"1932",253388
"1933",253389
"1934",253390
"1935",253391
"1936",253392
"1937",253393
"1938",253394
"1939",253395
"1940",253396
"1941",253397
"1942",253398
"1943",253399
"1944",253400
"1945",253401
"1946",253402
"1947",253403
"1948",253404
"1949",253405
"1950",253478
"1951",253479
"1952",253480
"1953",253481
"1954",253482
"1955",253483
"1956",253484
"1957",253485
"1958",253486
"1959",253487
"1960",253488
"1961",253489
"1962",253490
"1963",253491
"1964",253492
"1965",253515
"1966",253516
"1967",253517
"1968",253518
"1969",253519
"1970",253520
"1971",253521
"1972",253522
"1973",253523
"1974",253524
"1975",253525
"1976",253526
"1977",253527
"1978",253528
"1979",253529
"1980",253530
"1981",253531
"1982",253532
"1983",253533
"1984",253606
"1985",253607
"1986",253608
"1987",253609
"1988",253610
"1989",253611
"1990",253612
"1991",253613
"1992",253614
"1993",253615
"1994",253616
"1995",253617
"1996",253618
"1997",253619
"1998",253644
"1999",253645
"2000",253646
"2001",253647
"2002",253648
"2003",253649
"2004",253650
"2005",253651
"2006",253652
"2007",253653
"2008",253654
"2009",253655
"2010",253656
"2011",253657
"2012",253658
"2013",253659
"2014",253660
"2015",253661
"2016",253662
"2017",253736
"2018",253737
"2019",253741
"2020",253742
"2021",253744
"2022",253745
"2023",253772
"2024",253773
"2025",253774
"2026",253775
"2027",253776
"2028",253777
"2029",253778
"2030",253779
"2031",253780
"2032",253781
"2033",253782
"2034",253783
"2035",253784
"2036",253785
"2037",253786
"2038",253787
"2039",253788
"2040",253789
"2041",253901
"2042",253902
"2043",253903
"2044",253904
"2045",253905
"2046",253906
"2047",253907
"2048",253911
"2049",253912
"2050",253913
"2051",253914
"2052",253915
"2053",253916
"2054",253917
"2055",254029
"2056",254030
"2057",254031
"2058",254032
"2059",254033
"2060",254158
"2061",254159
"2062",254160
"2063",254161
"2064",267567
"2065",267568
"2066",267569
"2067",267570
"2068",267571
"2069",267572
"2070",267694
"2071",267695
"2072",267696
"2073",267697
"2074",267698
"2075",267699
"2076",267700
"2077",267701
"2078",267727
"2079",267728
"2080",267729
"2081",267730
"2082",267820
"2083",267821
"2084",267822
"2085",267823
"2086",267824
"2087",267825
"2088",267826
"2089",267827
"2090",267828
"2091",267829
"2092",267854
"2093",267855
"2094",267856
"2095",267857
"2096",267858
"2097",267859
"2098",267860
"2099",267946
"2100",267947
"2101",267948
"2102",267949
"2103",267950
"2104",267951
"2105",267952
"2106",267953
"2107",267954
"2108",267955
"2109",267956
"2110",267957
"2111",267958
"2112",267981
"2113",267982
"2114",267983
"2115",267984
"2116",267985
"2117",267986
"2118",267987
"2119",267988
"2120",268073
"2121",268074
"2122",268075
"2123",268076
"2124",268077
"2125",268078
"2126",268079
"2127",268080
"2128",268081
"2129",268082
"2130",268083
"2131",268084
"2132",268085
"2133",268086
"2134",268087
"2135",268108
"2136",268109
"2137",268110
"2138",268111
